RegionID,SizeRank,RegionName,RegionType,StateName,2015-03-31,2015-04-30,2015-05-31,2015-06-30,2015-07-31,2015-08-31,2015-09-30,2015-10-31,2015-11-30,2015-12-31,2016-01-31,2016-02-29,2016-03-31,2016-04-30,2016-05-31,2016-06-30,2016-07-31,2016-08-31,2016-09-30,2016-10-31,2016-11-30,2016-12-31,2017-01-31,2017-02-28,2017-03-31,2017-04-30,2017-05-31,2017-06-30,2017-07-31,2017-08-31,2017-09-30,2017-10-31,2017-11-30,2017-12-31,2018-01-31,2018-02-28,2018-03-31,2018-04-30,2018-05-31,2018-06-30,2018-07-31,2018-08-31,2018-09-30,2018-10-31,2018-11-30,2018-12-31,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31,2020-11-30,2020-12-31,2021-01-31,2021-02-28,2021-03-31,2021-04-30,2021-05-31,2021-06-30,2021-07-31,2021-08-31,2021-09-30,2021-10-31,2021-11-30,2021-12-31,2022-01-31,2022-02-28,2022-03-31,2022-04-30,2022-05-31,2022-06-30,2022-07-31,2022-08-31,2022-09-30,2022-10-31,2022-11-30,2022-12-31,2023-01-31,2023-02-28,2023-03-31
102001,0,United States,country,,1310.2389362535303,1320.3593314965453,1330.2148941293603,1340.3725463856924,1346.5424724741813,1352.1703674762807,1354.1207155821962,1355.5575179578527,1355.0831642323826,1354.7291956565875,1357.614289584641,1362.9686291750224,1372.2591801759474,1379.8030896753069,1387.9959175025767,1394.2595080299493,1399.470372637196,1401.721616542339,1401.5984681129357,1400.0373658360888,1397.9654378963662,1396.8750294914173,1399.7242375466817,1406.7937470417646,1416.5535431420867,1426.8544272413471,1436.710327743893,1445.3585723975768,1452.0213593196524,1455.0710045622518,1455.137919851972,1453.0651304508503,1451.0000548919631,1450.7528351058088,1453.8522760911126,1459.4401802188522,1468.5466549618206,1478.2749407645288,1488.7434170315028,1498.2002819435452,1505.536300305012,1510.6841319156117,1511.1114178796502,1510.1355499364902,1508.9202679888174,1509.7044152871895,1512.5453558187073,1518.1077271648921,1527.196867951234,1537.8893874527487,1549.1547626621616,1559.6165165056286,1567.4630893265175,1571.6623558864694,1571.5835529778137,1569.7737906340885,1567.2059825476401,1567.52437164404,1570.9061958872612,1578.987435523334,1587.1693481888647,1586.483462585114,1582.3748617835272,1579.3576767964043,1584.63695250815,1587.1586360140384,1585.5065484501474,1581.9815341387155,1582.253363712907,1584.6989974370747,1590.0201353567056,1597.674139317698,1613.1562742452375,1636.380101689187,1667.2912010329635,1701.760363957666,1738.746108049773,1774.35079157941,1802.8047327210436,1820.9028348833099,1832.591968838598,1843.7796951005696,1852.3786671853168,1868.1582330833396,1883.440982226005,1907.3479464394356,1930.2954004645048,1955.957391437292,1977.6736225995087,1991.825628295277,1997.2677102235652,1995.173025981388,1986.815710245927,1981.5993585985468,1980.4274301721528,1986.3540943099192,1995.5412246149517
394913,1,"New York, NY",msa,NY,2417.6989186000883,2436.6855800431913,2454.339972359559,2472.5711767587177,2481.6970263817457,2495.5163593935736,2502.607228370905,2508.255538666909,2503.154603733266,2494.2820471433524,2489.743496169253,2491.3054524167023,2498.945543355992,2507.4934034679877,2520.4452673776595,2535.8687359959754,2545.3279382078845,2548.834904385504,2550.339416298357,2545.3514058960627,2539.979303265912,2529.5711888012856,2525.6017474210635,2526.387500838665,2532.775146622021,2545.4737206586155,2562.088048933292,2578.558270491621,2592.5124514929125,2597.118860032777,2596.932852786986,2587.8197531157293,2573.725016502088,2563.142953556774,2555.704283305403,2557.538172957478,2563.838475887064,2578.59543076337,2597.455151518773,2615.012502055279,2630.7693872972327,2641.399755062675,2644.459690633847,2639.5384898855978,2628.6015395227832,2617.42382421457,2610.683584237775,2616.0586454497807,2629.7300715957417,2644.841322152583,2666.5440702543456,2687.2287881166617,2707.5783231543473,2712.3485208610714,2708.8606423140986,2703.186456020274,2691.6183070062452,2681.909785158419,2677.6643358635824,2691.1631140259483,2706.0362699817474,2702.180785228821,2682.9646330866167,2657.5775945733944,2633.3544634943505,,,2487.9119080809305,2456.112347326255,2440.345797158777,2436.8238317130413,2439.782356543803,2458.5732240415505,2489.323467205505,2538.613873954664,2594.804296533329,2659.3024724868783,2720.5518106342515,2773.1360988331744,2806.340847196954,2828.163828654576,2846.5313559877045,2867.250836216855,2903.6210978634413,2945.338444497227,2997.994192069521,3057.8894411947767,3121.052300882524,3176.308430874421,3200.9205782303197,3198.198220028563,3174.8233147198425,3142.258581397322,3118.808862681874,3111.0389129607893,3126.5602558360165,3155.5228263822414
753899,2,"Los Angeles, CA",msa,CA,1915.9927293597332,1929.2066933069962,1942.7874799044398,1953.989283825883,1969.9989968274076,1983.9356652634226,1995.7260314747684,2001.4253099190257,2007.6598869031577,2011.9258696386908,2021.2562214947782,2032.9362865536639,2047.9125004232678,2056.9645507601977,2068.1548219760602,2079.8298031959494,2094.0128454367314,2102.45351959829,2109.9598447435715,2114.2480391575073,2117.0290680078456,2119.703493067539,2128.296797583713,2141.9985798001644,2158.2999666838555,2173.720041849565,2188.406821974005,2198.581836044995,2210.740402500949,2218.1642222645505,2226.12707147828,2227.4898552517743,2230.03451628949,2231.332347962309,2237.6933513963872,2245.295882966612,2256.623265182913,2267.483284307635,2279.050675356481,2291.513528056989,2301.393306337268,2312.1206483797073,2318.0143000920075,2323.830657039556,2328.1601291791785,2333.4919200607405,2339.0232577253764,2343.983797936201,2350.921811893401,2360.7896944861195,2370.7233664644864,2383.5289560394735,2393.08317220312,2403.0568494729764,2408.4559839632725,2411.1118880682475,2411.409420570556,2415.090643715896,2420.9742718751763,2427.6829920003897,2428.506160718992,,,,2380.2464368619253,2379.8993613695343,2381.2520347628665,2382.0266955838983,2389.6908403485404,2390.9551811713045,2392.754835724965,2396.441463677146,2410.6593940385874,2430.611264729339,2458.7507423716265,2495.858106016375,2544.7056390841085,2603.431664599981,2650.476901042437,2685.4398414793222,2702.662808557989,2722.617189799391,2739.7298200743253,2764.9657433660846,2792.9105671275343,2826.2442848136548,2859.317354126273,2884.5842236341746,2907.0668422849526,2921.1266372590594,2928.604706218144,2924.248254519352,2915.7852807377635,2907.6380883909887,2902.234556642183,2905.664968139213,2914.9711075914906
394463,3,"Chicago, IL",msa,IL,1454.1444230524742,1467.103087185845,1478.5815670515126,1502.6976708217517,1509.2888761781992,1515.5803426495747,1513.5647652271728,1506.5637828881652,1495.6719516331666,1491.13414542334,1495.672679498589,1506.171509428941,1518.190242851909,1527.8688030740432,1538.6673164089593,1547.6698689027032,1554.8842398974725,1555.9660829666764,1549.7110853578051,1537.9307341867188,1525.893052098483,1519.7105338498664,1521.2448401064223,1534.0936596524634,1550.089410528391,1567.4095407246825,1578.9715240924681,1586.482144099116,1590.8163715618875,1589.2310588649261,1582.817205235608,1572.0515269904715,1562.4729271939784,1559.2158536384645,1563.1520146387127,1570.831854312553,1582.8148917916387,1593.2809167996436,1606.0285742322967,1616.1213229031887,1623.0124899825346,1622.5244980055145,1616.173885382677,1604.8044926231796,1596.457138757296,1590.733452654044,1595.4549009056075,1603.851182682536,1617.9885542791535,1632.6315984948249,1646.378001853308,1657.5667571427132,1663.8125196742237,1664.8678925389163,1661.0938627852722,1653.449729161563,1643.8237942692479,1638.032461144004,1641.2531298439812,1652.4049974974932,1666.114529777514,1669.2945838421776,1668.0950087065123,1663.0905118264502,1662.497129736351,1655.7914805955081,1640.4234314306502,1619.268745514914,1601.031925016744,1591.3854420453608,1589.1270382933117,1593.9827585562768,1610.9188278794995,1640.3903578371933,1676.191315294796,1706.7205681100545,1729.5049440271005,1746.7519309674924,1755.2674916230253,1756.5448141376362,1754.567363272192,1759.6551962430606,1772.0540568465053,1788.7588429495847,1808.5720841935442,1831.1460729152316,1856.8763021552686,1879.076819223473,1899.1583413366518,1908.0139651186457,1910.8997313419734,1909.1838501674101,1902.8477486275315,1903.5793565152262,1907.2160814624008,1921.9456771127755,1935.6340597930605
394514,4,"Dallas, TX",msa,TX,1150.4969990386726,1161.017133874279,1172.8320342634092,1180.7201870128565,1186.8622112168662,1191.6250937936263,1194.231199014616,1193.179251540761,1192.6678003037619,1192.2566868580486,1196.7224366391927,1202.488881151067,1214.0070957651703,1222.6022549839774,1231.0882500129264,1235.5208393439164,1241.1451035743264,1244.0636119036035,1244.6334287811108,1244.3238944098161,1245.2249563525831,1246.7365210326789,1250.4574022047343,1254.0140855606576,1263.6079361854654,1272.4565683182943,1284.9593946056245,1293.7002263427648,1300.624893873594,1303.569232293632,1302.8314839037967,1302.437285828869,1298.8358733833616,1298.4916948575587,1299.953044369617,1307.6214192439165,1313.6061937021668,1321.054313099221,1325.3602266061612,1333.815775831041,1339.379599730872,1344.7972290823993,1343.7026503516684,1345.1452554068223,1346.0630158940737,1346.0606624671316,1346.5945772624664,1351.0574710323147,1359.6952790046723,1369.1031956380732,1377.0348300983667,1388.0435864555996,1394.1965263531445,1396.4482347265441,1396.0795336945487,1394.595871539336,1392.0759447946243,1388.8494847515658,1388.6834337401726,1394.2010604952277,1400.7388933912155,1400.648329119248,1397.8559941013361,1397.4676422327157,1402.1834074210803,1406.0714474260908,1406.7372120682314,1410.1277996274082,1414.187106916358,1419.2927293179548,1423.7561162162717,1429.957319497961,1442.2484114228307,1463.974879999304,1494.826852620475,1532.3059388862318,1571.7396691193778,1609.1659509134652,1638.119233642022,1653.8322213390572,1665.9842693552334,1674.1525004719056,1683.610824809396,1693.2325165398356,1704.8352121315497,1727.3851820200261,1756.0690417324452,1790.5579461573977,1815.9625421449637,1826.824946623794,1826.4113732508986,1814.0079540166932,1799.239642692782,1783.7758953411133,1778.2333903262454,1780.7823255368853,1788.9917270073327
394692,5,"Houston, TX",msa,TX,1277.4316820676997,1285.4423966709749,1294.9139883097564,1303.989640926612,1308.9691244807848,1313.2952407988764,1311.9218460034747,1307.7758934237152,1303.4180522469899,1300.4785525873372,1300.9991159372962,1304.4030230106118,1311.473403840079,1315.3073752738956,1315.1307990366574,1313.733508349138,1313.1566374290953,1310.686599639075,1305.5595709185193,1301.9930099464173,1296.078228924391,1292.8017936453498,1289.3867999404724,1295.415335843091,1303.5984875524068,1311.1046106934398,1317.3887606798107,1319.6047357915324,1320.6499310837546,1319.0481660441374,1321.1039953189063,1330.082708995184,1339.1246225060004,1345.6054485802956,1347.2205638751634,1349.8037996148275,1354.039609913321,1360.803818923506,1365.847675143375,1370.7978003602143,1374.231322134557,1374.7845868419743,1372.2069552480787,1369.2622977585993,1371.4438745177035,1371.23942114372,1370.1524399185123,1367.9085478572258,1372.290696333557,1378.348645231072,1386.4164856151435,1393.6087849805156,1398.9207647232051,1399.1819033770078,1395.7066837639122,1393.5053597206415,1392.8064076293465,1395.6376263785608,1397.5370768116654,1400.4139353121116,1403.5037269770344,1398.599099235351,1390.6387264805198,1383.8353648153884,1384.6167170548747,1389.0411971674482,1390.0998878246362,1394.256451194027,1397.5087984533825,1399.4520518102026,1398.656247155684,1395.8920471946074,1401.8952456128118,1415.9700712873878,1443.467944544553,1475.4124280494004,1506.7814435388095,1533.3044712486494,1546.088028247311,1554.8748427296175,1558.5606978836072,1566.8216138359282,1570.4618467353685,1578.7128077903787,1587.1910865102202,1600.711764576172,1615.3415672438466,1630.50397025405,1643.9511527382385,1651.5975773672421,1651.148537181127,1645.7759694318993,1637.4324626646974,1632.0195924418317,1637.4397833555556,1645.292637504271,1656.3804653814343
395209,6,"Washington, DC",msa,VA,1775.3625311714604,1785.1185236143974,1792.3175228074178,1801.463106131534,1805.122636951581,1808.531769583749,1805.4798659832081,1804.7755499026641,1799.1994833755343,1798.0990713389956,1796.0036245631284,1801.8444531251341,1810.8427483566275,1819.1292208519803,1828.347644741489,1833.9726249587711,1832.91455716001,1833.3966900661126,1826.9767213436573,1826.1669568749794,1817.3028090495634,1814.4700689666868,1817.1661696308063,1826.296637880156,1838.1846157667835,1849.6790316989402,1858.9259627884474,1866.7682568377663,1869.3375778777427,1870.922301816256,1868.5185394289122,1861.3595067334227,1850.6521218350015,1843.6389042886199,1844.6073266899814,1851.5168128685616,1861.5662335213524,1874.8546894642382,1886.9131833234871,1899.6752815674483,1908.436034613761,1914.2841916650696,1910.3941265062624,1905.0310518424787,1901.0799965383064,1901.1588723309746,1904.9804103568174,1912.0435103092054,1922.3641132432276,1934.460114918968,1946.5557933171801,1959.2452143433156,1966.3092591650732,1969.8330892291362,1970.0083639673799,1964.6585916845845,1957.6351219784333,1950.2522588487955,1953.1082181694405,1959.0918207969953,1970.0670281940056,1967.6177786463677,1960.192095553295,1951.1412315256673,1948.9310781194754,1944.2015130615923,1928.9575187579696,1909.5002575341377,1888.5899422961184,1878.4360859873434,1876.3785127244303,1884.9080300023734,1894.6770746800073,1915.8452815203123,1947.133982956475,1988.5840027201677,2029.5472227652638,2066.085549987962,2089.562686757704,2102.3353006301113,2103.2977794781077,2105.005979585259,2105.6759127884284,2115.3102548262164,2130.492445124141,2153.8147802235376,2178.9561490008196,2205.464631333037,2227.7571010698143,2243.209067104065,2247.4587366818405,2237.940191999209,2218.9845366742397,2201.6141907903657,2197.455665319641,2207.157081439528,2226.864191170447
394974,7,"Philadelphia, PA",msa,PA,1329.4269924470314,1335.7656914661168,1345.314569475464,1350.9283098466142,1354.7477584467915,1356.7256488333348,1355.7496337233024,1353.526901916955,1350.3837934491396,1348.4688616462695,1351.4432950207963,1355.3144383192052,1365.1296078967218,1373.2621449625058,1382.7473872674652,1387.8444710621727,1389.24721044777,1386.8266256563775,1384.152913401952,1382.100340899728,1383.247685817286,1382.8185452687487,1384.7099877046958,1389.9271197947053,1398.3461508388916,1408.562955954977,1415.4986479838965,1420.5876778969905,1422.3333043519742,1423.459159029972,1421.1813455151032,1420.31918975309,1419.243987592211,1422.5558398362577,1422.3671077575952,1425.9888387835651,1433.2878861556655,1445.2273516669197,1457.2784185350472,1463.8862505091531,1467.9523351845874,1467.707282643003,1467.4507953652105,1467.2048267307366,1466.8753334946116,1466.8959138407029,1470.3900036539749,1476.3707966444783,1486.861361652245,1496.8188241958571,1505.4702476998493,1514.699858117847,1520.5404966173144,1523.4075012274025,1521.1312058342594,1518.8024972390795,1518.4451999312917,1518.4438223926124,1520.3721221012245,1529.136439729396,1539.340385057581,1541.0937478956528,1539.513989883183,1537.2940328108803,1543.747813896748,1547.6310360286825,1548.6849059361743,1546.5571981229666,1546.6024913533402,1549.7337073135882,1551.5099618183453,1552.0012966118957,1558.3429964996183,1575.6794697018047,1601.3824563163816,1624.9844080517216,1648.4728044007127,1672.7794440519465,1695.0977859322247,1710.7435170063936,1716.5892240265373,1728.3070949177352,1732.8477137488428,1744.4569912842235,1752.1980314076231,1769.5467280325977,1785.3243771124507,1802.3746235310905,1819.1555983172746,1830.1633680557754,1832.4285005554739,1828.0437852828488,1821.8183665531058,1817.9428822427399,1817.233636350239,1818.4868255383224,1822.4865497441804
394856,8,"Miami, FL",msa,FL,1588.6810243755779,1594.6398404137963,1601.2933864993875,1611.3359730275372,1619.3336162240987,1627.6769216158082,1636.345085189839,1650.0847407747433,1660.2785607613082,1664.2699801200754,1667.800726237144,1671.3594522858727,1678.294377748748,1678.5273352977626,1679.0377103348494,1677.763448206672,1680.6416525628274,1682.6805595991286,1685.4080465765553,1688.8389247581197,1692.5854270287907,1693.4449196789246,1696.850013569784,1699.868145464674,1706.6732204032135,1708.949180236309,1710.7072632906982,1714.5987245617225,1719.9541676871308,1726.1612266025763,1729.3205431196043,1735.7347605299105,1739.0075503446533,1743.152201191971,1744.3500836620058,1747.3659436497448,1750.2966226427188,1753.046512176342,1756.8456396615547,1762.9080122144012,1767.9917916423515,1775.7740101208954,1781.330669689919,1790.326905510732,1795.0438663125299,1800.256543839586,1800.2749230782858,1802.1155228666098,1804.309598527642,1808.1219505107576,1810.7893165994572,1813.69432542946,1819.3339145898628,1824.1405354232809,1831.0928507741412,1839.2662151403426,1850.110777229892,1859.2255752878732,1863.4509037167088,1867.542627075092,1868.9020450642518,1862.8532293527219,1850.3241079944814,1840.0351498084597,1843.2939928147698,1850.1386348931733,1858.6557773047246,1866.9368668634731,1885.166943870311,1903.7070968270514,1927.6709875299211,1947.170590643456,1976.2031858851924,2010.1239897574353,2056.5075222654514,2112.8264232732913,,2259.5853835703647,2328.559370149133,2383.2028288925408,2435.9194904143105,2490.678954885376,2536.527648415975,2573.8452808303914,2610.1856163826465,2651.0396764602974,2691.8723715496385,2719.4846090248707,2740.100557945384,2746.5877543051274,2759.4399617071,2767.687624187942,2779.83495970678,2778.3699148619826,2776.2675576605734,2774.344084312325,2782.0578282674683
394347,9,"Atlanta, GA",msa,GA,1089.087358163028,1097.9463491970814,1108.2394542179138,1118.6401233839235,1127.8059685087746,1132.5003805534193,1134.309047211884,1133.7679734435587,1134.530735678404,1136.6665158679364,1140.2993065688631,1146.432076987696,1157.5285904706438,1166.9070565531858,1176.415390375044,1183.8777153847857,1193.4721439576074,1198.791820215094,1200.6504666693284,1202.7529353330733,1202.8577647652717,1202.5886986127548,1204.0514935810324,1211.0963393387883,1221.9063430007532,1232.3555621270675,1244.0128282912117,1255.1105217535185,1265.6223337394717,1273.0720445581924,1277.505426300549,1276.278212025358,1274.4002000741582,1274.458119794184,1279.3740307922396,1286.300821473472,1295.7721233261375,1306.4434893018877,1320.7500626521473,1330.9325992801018,1340.0809025936508,1345.4887799246846,1350.5341771073392,1354.7890696742961,1357.9774466095262,1361.198737052034,1367.9441572917679,1373.5001412815766,1383.4967020529402,1392.341920991101,1404.4211993778238,1414.4126156974046,1421.9150988596668,1427.5207987328026,1430.515512910409,1430.3314732705182,1428.4004530101354,1427.149810482623,1430.6052318426582,1437.8178027146557,1445.7435694654728,1446.1498695199227,1444.3201174378203,1447.3162415895115,1459.3415474358821,1475.5269699115627,1487.2922746153351,1498.5605781294148,1505.4749718547143,1515.4864958948983,1526.3114652028319,1542.75214372148,1562.063048426021,1588.5245465641851,1621.010467763642,1663.555743661116,1712.7377797944803,1766.1093140796572,1805.1839297927238,1829.46306966128,1837.0649252055305,1841.6022415584496,1845.0040059540477,1853.194961982152,1864.3037998864638,1874.4880612456964,1892.6739891540283,1916.4907383678258,1945.843043930651,1963.4664790828358,1971.355048570939,1965.5505166936696,1955.1531880083783,1948.9795561392289,1944.1963379543804,1949.812745144466,1955.0809454472903
