RegionID,SizeRank,RegionName,RegionType,StateName,BaseDate,2023-05-31,2023-07-31,2024-04-30
395174,201,"Tyler, TX",msa,TX,2023-04-30,1.0,2.5,5.3
394361,202,"Barnstable Town, MA",msa,MA,2023-04-30,1.2,2.4,4.7
394519,203,"Daphne, AL",msa,AL,2023-04-30,0.7,2.4,6.5
394378,205,"Bellingham, WA",msa,WA,2023-04-30,0.7,1.6,3.7
394429,206,"Burlington, VT",msa,VT,2023-04-30,1.1,3.2,4.4
395030,207,"Rochester, MN",msa,MN,2023-04-30,1.3,2.6,3.2
753895,208,"Lafayette, IN",msa,IN,2023-04-30,0.9,2.3,4.9
394454,209,"Champaign, IL",msa,IL,2023-04-30,1.0,2.6,1.6
394848,210,"Medford, OR",msa,OR,2023-04-30,0.6,1.1,2.0
394459,212,"Charlottesville, VA",msa,VA,2023-04-30,1.1,2.0,3.3
394763,213,"Lake Charles, LA",msa,LA,2023-04-30,0.1,-0.2,-4.6
394773,214,"Las Cruces, NM",msa,NM,2023-04-30,0.8,2.0,5.2
394464,215,"Chico, CA",msa,CA,2023-04-30,0.5,1.2,2.1
394681,216,"Hilton Head Island, SC",msa,SC,2023-04-30,1.0,2.3,7.0
394346,217,"Athens, GA",msa,GA,2023-04-30,1.1,2.8,7.3
394765,218,"Lake Havasu City, AZ",msa,AZ,2023-04-30,0.8,1.8,7.2
394485,219,"Columbia, MO",msa,MO,2023-04-30,1.4,3.0,7.9
395114,220,"Springfield, IL",msa,IL,2023-04-30,0.7,1.8,0.9
394691,221,"Houma, LA",msa,LA,2023-04-30,0.1,0.1,-4.7
394872,222,"Monroe, LA",msa,LA,2023-04-30,0.5,1.0,0.3
394565,223,"Elkhart, IN",msa,IN,2023-04-30,0.8,1.9,3.9
394726,224,"Johnson City, TN",msa,TN,2023-04-30,1.1,2.8,7.4
395247,225,"Yuma, AZ",msa,AZ,2023-04-30,0.6,1.4,6.7
394623,226,"Gainesville, GA",msa,GA,2023-04-30,0.9,2.2,6.4
394716,227,"Jacksonville, NC",msa,NC,2023-04-30,1.0,2.6,6.5
394597,228,"Florence, SC",msa,SC,2023-04-30,0.8,2.3,3.9
394680,229,"Hilo, HI",msa,HI,2023-04-30,0.8,1.6,5.0
395118,230,"St. Cloud, MN",msa,MN,2023-04-30,1.1,2.9,3.3
395011,231,"Racine, WI",msa,WI,2023-04-30,1.1,2.8,3.2
394380,232,"Bend, OR",msa,OR,2023-04-30,0.7,0.7,5.1
395047,233,"Saginaw, MI",msa,MI,2023-04-30,1.4,3.9,5.6
395202,234,"Warner Robins, GA",msa,GA,2023-04-30,0.8,1.9,5.4
395151,235,"Terre Haute, IN",msa,IN,2023-04-30,1.2,3.4,5.1
395162,236,"Torrington, CT",msa,CT,2023-04-30,1.3,3.0,4.3
395009,237,"Punta Gorda, FL",msa,FL,2023-04-30,0.5,1.2,6.1
394386,239,"Billings, MT",msa,MT,2023-04-30,0.9,2.2,5.1
395018,240,"Redding, CA",msa,CA,2023-04-30,0.6,1.4,2.9
394748,241,"Kingston, NY",msa,NY,2023-04-30,1.1,2.9,6.3
394960,242,"Panama City, FL",msa,FL,2023-04-30,1.0,2.7,7.0
394729,243,"Joplin, MO",msa,MO,2023-04-30,1.1,2.6,7.1
394539,244,"Dover, DE",msa,DE,2023-04-30,0.8,1.9,5.1
394559,245,"El Centro, CA",msa,CA,2023-04-30,0.7,1.7,3.1
394712,246,"Jackson, TN",msa,TN,2023-04-30,1.2,3.4,6.3
395246,247,"Yuba City, CA",msa,CA,2023-04-30,0.5,0.9,3.0
394406,248,"Bowling Green, KY",msa,KY,2023-04-30,0.9,2.2,4.9
395119,249,"St. George, UT",msa,UT,2023-04-30,0.6,1.5,5.0
394896,250,"Muskegon, MI",msa,MI,2023-04-30,1.6,4.2,6.8
394299,251,"Abilene, TX",msa,TX,2023-04-30,1.1,2.9,3.1
394707,252,"Iowa City, IA",msa,IA,2023-04-30,1.1,2.6,3.4
394351,253,"Auburn, AL",msa,AL,2023-04-30,0.9,2.2,4.6
394860,254,"Midland, TX",msa,TX,2023-04-30,0.7,1.2,0.6
394671,255,"Hattiesburg, MS",msa,MS,2023-04-30,0.6,1.4,1.6
753869,255,"Bloomington, IL",msa,IL,2023-04-30,1.0,2.4,2.6
394944,257,"Oshkosh, WI",msa,WI,2023-04-30,1.1,2.8,3.1
394555,258,"Eau Claire, WI",msa,WI,2023-04-30,1.4,3.3,4.5
394651,259,"Greenville, NC",msa,NC,2023-04-30,1.1,2.5,6.3
394428,260,"Burlington, NC",msa,NC,2023-04-30,1.0,2.6,5.9
395210,261,"Waterloo, IA",msa,IA,2023-04-30,1.4,3.4,3.6
394480,262,"Coeur d'Alene, ID",msa,ID,2023-04-30,1.2,2.4,8.3
394553,263,"East Stroudsburg, PA",msa,PA,2023-04-30,1.0,2.6,8.0
395007,264,"Pueblo, CO",msa,CO,2023-04-30,0.7,1.8,5.5
394392,265,"Blacksburg, VA",msa,VA,2023-04-30,1.0,3.0,5.4
395215,266,"Wausau, WI",msa,WI,2023-04-30,1.2,3.2,2.3
394731,267,"Kahului, HI",msa,HI,2023-04-30,0.2,0.0,4.5
394720,268,"Janesville, WI",msa,WI,2023-04-30,1.3,3.2,4.5
395170,269,"Tupelo, MS",msa,MS,2023-04-30,0.6,1.6,2.1
394393,270,"Bloomington, IN",msa,IN,2023-04-30,1.1,2.7,5.2
394930,271,"Odessa, TX",msa,TX,2023-04-30,0.6,1.3,1.7
394710,272,"Jackson, MI",msa,MI,2023-04-30,1.0,3.0,3.3
395125,273,"State College, PA",msa,PA,2023-04-30,0.8,2.0,2.5
395079,274,"Sebastian, FL",msa,FL,2023-04-30,0.7,1.5,6.0
394814,275,"Madera, CA",msa,CA,2023-04-30,0.7,1.8,5.5
394523,276,"Decatur, AL",msa,AL,2023-04-30,0.9,2.5,6.3
394453,277,"Chambersburg, PA",msa,PA,2023-04-30,0.8,1.9,4.4
395193,278,"Vineland, NJ",msa,NJ,2023-04-30,1.0,2.5,5.6
394703,279,"Idaho Falls, ID",msa,ID,2023-04-30,0.6,1.7,6.6
394639,280,"Grand Junction, CO",msa,CO,2023-04-30,0.9,2.1,4.6
