RegionID,SizeRank,RegionName,RegionType,StateName,2018-01-31,2018-02-28,2018-03-31,2018-04-30,2018-05-31,2018-06-30,2018-07-31,2018-08-31,2018-09-30,2018-10-31,2018-11-30,2018-12-31,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31,2020-11-30,2020-12-31,2021-01-31,2021-02-28,2021-03-31,2021-04-30,2021-05-31,2021-06-30,2021-07-31,2021-08-31,2021-09-30,2021-10-31,2021-11-30,2021-12-31,2022-01-31,2022-02-28,2022-03-31,2022-04-30,2022-05-31,2022-06-30,2022-07-31,2022-08-31,2022-09-30,2022-10-31,2022-11-30,2022-12-31,2023-01-31,2023-02-28
102001,0,United States,country,,0.9827719154521567,0.9844097995545658,0.9880708519098687,0.9906542056074766,0.9926894959599846,0.9939408999127362,0.9918733069389456,0.9891304347826086,0.9872611464968153,0.9854927463731866,0.9844036697247707,0.9828448892065761,0.9814746202297147,0.9832775919732442,0.9858823529411764,0.9883516474554817,0.9904761904761905,0.991304347826087,0.9904761904761905,0.9889328414596205,0.9877156036594492,0.9866666666666667,0.986159169550173,0.985,0.9832635983263598,0.9855072463768116,0.98989898989899,0.9932584269662922,0.9915966386554622,0.993103448275862,0.9972413793103448,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0025062656641603,1.010004764173416,1.008695652173913,1.0007147962830594,1.0,1.0,1.0,1.0,1.0,1.0,1.0037641154328734,1.014358168440603,1.0158976347421482,1.0102020404080816,1.0,1.0,1.0,1.0,0.992080033347228,0.9877469367341836,0.984982270663691,0.9876712328767123
394913,1,"New York, NY",msa,NY,0.9776207302709069,0.9768842594792269,0.98,0.9799532293986637,0.9799816105490489,0.9840277777777777,0.9848528138528139,0.9838696668036988,0.9823430146531205,0.98,0.9782125389061805,0.9777777777777777,0.9770114942528736,0.9763930578709217,0.9761006289308176,0.9774436090225563,0.9805844283192783,0.9821109123434705,0.9824561403508771,0.9818181818181818,0.9808102345415778,0.9793593031611365,0.9782247570327781,0.9790209790209791,0.977961432506887,0.9763286461551492,0.9789588183657112,0.9830114350695749,0.9826589595375722,0.9826995436558839,0.9858989229494615,0.9919839679358717,0.9973614775725593,1.0,1.0,1.0,1.0,0.9939347956039913,0.9945442145942259,1.0,1.0,1.0000016666694445,1.0021321961620469,1.0005885815185402,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0008340283569641,1.013202614379085,1.018181818181818,1.0172143974960877,1.0095238095238095,1.0000028571510204,1.0,1.0,1.0,0.9934857087431108,0.9886234209981363
753899,2,"Los Angeles, CA",msa,CA,0.9983666802776644,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9972602739726028,0.9943187467723362,0.9923664122137404,0.9916510119510249,0.9885909534656687,0.990929456157031,0.9920254980566126,0.994729907773386,0.9967159842458211,0.9976798143851509,0.9956944955301,0.9960316835425098,0.9949937421777222,0.9946559762392637,0.996669988899963,0.9946595460614153,0.993497277476239,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0000148353852225,1.000250062515629,1.0002004409701344,1.0001290489095367,1.0013351134846462,1.0125,1.0209072708728884,1.0262828535669588,1.0296462766519248,1.030612244897959,1.0236538559747062,1.0177224074399018,1.017391304347826,1.017464968388361,1.018706101982648,1.018181818181818,1.0323169150853007,1.0458970792767732,1.0507004669779854,1.041815498042784,1.0260796431052768,1.0063861927303814,1.0,1.0,0.9992679355783309,0.9932885906040269,0.99,0.9871447157158666,0.9936814978119028
394463,3,"Chicago, IL",msa,IL,0.9719839908519153,0.9722199995021107,0.9768115942028985,0.9795918367346939,0.9807767752059631,0.9818181818181818,0.9811912225705329,0.9790209790209791,0.977477305093316,0.9767441860465116,0.9744349759170063,0.9723889555822329,0.972492358988608,0.9729990105712649,0.9772989611388996,0.9793103448275862,0.9805825242718447,0.981029810298103,0.9799925898480919,0.9792709077912795,0.9782971619365609,0.9771689497716894,0.9763779527559056,0.9744041802767619,0.9736578859619873,0.9730411147660296,0.9777171441564347,0.9799909049567985,0.9799196787148594,0.9795748228428511,0.9827802730851205,0.9836612204068023,0.9853095326180787,0.985373364126251,0.985373364126251,0.9866607381058248,0.9839259933413411,0.9846153846153847,0.9880952380952381,0.9977494373593399,1.0,1.0,1.0002326122354035,1.0,1.0,1.0,0.9983132622286117,0.99670408082364,0.9908849208272462,0.9955357142857143,1.0,1.0004653327128896,1.0060240963855422,1.0078947368421052,1.0003705075954057,1.0,1.0,0.9910892889616294,0.9884678747940692,0.9851582528860826,0.9824561403508771,0.9851961428884506
394514,4,"Dallas, TX",msa,TX,0.9880952380952381,0.9912445278298937,0.9959211401952085,1.0,1.0,1.0,0.9971428571428571,0.9924628224582701,0.9902694120131974,0.9883547327560466,0.9879032258064516,0.985448893840361,0.9840425531914894,0.9861838970938542,0.9899807931042559,0.990909090909091,0.9917695473251029,0.9910714285714286,0.9909480705097665,0.9887200960090784,0.9872340425531915,0.9869298479594558,0.987687572143132,0.9862542774966935,0.9855951203592234,0.9867256637168141,0.9906335713133269,0.9932657665241253,0.9918657833577318,0.9943977591036415,0.9969989996665555,0.9960442223928402,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0149253731343284,1.024390243902439,1.031572366364489,1.0285714285714285,1.0208333333333333,1.010183612326023,1.0036988163538925,1.002939604083152,1.0028249778471574,1.0043668122270741,1.0161290322580645,1.039793771043771,1.0508205542103848,1.049462365591398,1.0333333333333334,1.0107671796655362,1.0,1.0,0.9910892889616294,0.9881344707833178,0.9848484848484849,0.9817766708177667,0.9859959988568162
394692,5,"Houston, TX",msa,TX,0.9763313609467456,0.9760390415616624,0.9777777777777777,0.9815210417082423,0.9819819819819819,0.9821428571428571,0.9819639278557114,0.9811320754716981,0.9792992349896751,0.9786324786324786,0.9777777777777777,0.9782135076252724,0.9762048192771084,0.9780775716694773,0.9792221394358701,0.9814075362575756,0.9830508474576272,0.983132530120482,0.9834426047338594,0.9811356700467655,0.98,0.9800381226403626,0.9811320754716981,0.9794871794871794,0.9779038518960884,0.979381443298969,0.9824937477670597,0.9846153846153847,0.9833333055554629,0.9839816933638444,0.9858902820532895,0.9866666666666667,0.9869298479594558,0.9872262773722628,0.9880533976345636,0.9870967741935484,0.9869888026312608,0.9888888888888889,0.9968947123812315,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0016064102564104,1.0077691836752292,1.0003572704537336,1.0,1.0,0.9891891891891892,0.9863013698630136,0.9833930949663897,0.9811827956989247,0.9792709077912795,0.9817609529287701
395209,6,"Washington, DC",msa,VA,0.9921337190415049,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9955956815691638,0.9940606439512347,0.9989071038251366,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0083333333333333,1.015625,1.0223013903549512,1.0200557165309756,1.0112359550561798,1.000464994889441,1.0,1.0,1.0,1.0,1.0,1.0018214936247722,1.018181818181818,1.0263504611330698,1.023534949399859,1.0115606936416186,1.0000010204092045,1.0,1.0,1.0,1.0,1.0,1.0,1.0
394974,7,"Philadelphia, PA",msa,PA,0.9791958391678336,0.9817351598173516,0.9829059829059829,0.9855839952927331,0.9891891891891892,0.9915518008003558,0.9888169511477339,0.9872067648663394,0.9862461794943039,0.9839935974389756,0.9823529411764705,0.9821753364859949,0.9804462084223412,0.9817090597313518,0.9816113700739649,0.986950908977754,0.9904648255483578,0.9932088285229203,0.9928571428571429,0.9881378393901372,0.9878787878787879,0.9860351009624457,0.9868403735054931,0.984649048981653,0.9807711168711595,0.9838350055741361,0.9887499824218475,0.9951325040562466,0.9928824721377913,0.9928336816960287,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.000533712913147,1.0096464019851117,1.0046070501790214,1.000224798003911,1.0,1.0,1.0,1.0,1.0,1.0,1.0054095859200267,1.0199355178312937,1.0210526315789474,1.012786428661856,1.000322684737012,1.0,1.0,1.0,1.0,1.0,1.0
394856,8,"Miami, FL",msa,FL,0.9636363636363636,0.9652509652509652,0.9647058823529412,0.9679313408869483,0.9661286656058196,0.9681232971548528,0.967551622418879,0.9685503869607259,0.9694716775599128,0.9671432404671549,0.9685404795854828,0.9661412558798328,0.964824120603015,0.9645860705568163,0.9669889963321107,0.9661286656058196,0.9677575447282899,0.9692307692307692,0.96875,0.9696321114035351,0.967741935483871,0.9698996655518395,0.9687512109405274,0.96875,0.9663865546218487,0.967741935483871,0.9689162035833502,0.9705882352941176,0.967741935483871,0.9685664383250918,0.9721048182586645,0.9713730816907474,0.9722222222222222,0.9722222222222222,0.9739801751353443,0.9724398791011433,0.9722222222222222,0.9722249228470079,0.9746835443037974,0.9774948852011821,0.9807692307692307,0.9863013698630136,0.9899665551839465,0.9904761904761905,0.9896039603960396,0.9894736842105263,0.9882352941176471,0.989703972649935,0.9887005649717514,0.9921455146754857,1.0,1.0,1.0,1.0,1.0,0.9924812030075187,0.9839158140195849,0.9795748228428511,0.9742857142857143,0.9731268641165914,0.970513586145118,0.9702127659574468
394347,9,"Atlanta, GA",msa,GA,0.9830840157828633,0.986807541103381,0.9895833333333334,0.9948186528497409,0.9973329776829376,0.9946654812180484,0.9943714821763602,0.9904761904761905,0.9896013552479815,0.9876653458840754,0.9864959189063424,0.986013986013986,0.9853468571925785,0.9868875086266391,0.989724175229854,0.9912726085147308,0.9928195308760173,0.992,0.9921414538310412,0.9903225806451613,0.9890909090909091,0.9878787878787879,0.9883521236595767,0.9876923076923076,0.9849246231155779,0.9891037856256641,0.9922480620155039,0.9965371296652559,0.99583401128105,0.9940828402366864,0.9974993053626007,0.9985844175284906,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.002768101496126,1.0093457943925233,1.0129310344827587,1.0125042187675781,1.0083333333333333,1.000457778912723,1.0001666944490748,1.0001952762432844,1.0002128112364332,1.0,1.0030249708601384,1.0136674259681093,1.022509050038913,1.0252100840336134,1.018181818181818,1.005015075326633,1.0,1.0,1.0,0.9926862113946264,0.9893617021276596,0.9875,0.9923076923076923
